12.450 	62.505 	14.309 	0.000 	0.418 	0.909 	0.256 	0
12.885 	63.411 	13.892 	0.000 	0.418 	0.909 	0.242 	0
13.520 	64.350 	13.460 	0.000 	0.417 	0.909 	0.269 	0
14.126 	65.068 	13.129 	0.000 	0.417 	0.909 	0.221 	0
14.893 	65.655 	12.859 	0.000 	0.417 	0.909 	0.222 	0
15.762 	66.278 	12.573 	0.000 	0.417 	0.909 	0.246 	0
16.686 	66.674 	12.392 	0.000 	0.417 	0.909 	0.226 	0
17.666 	67.005 	12.241 	0.000 	0.417 	0.909 	0.231 	0
18.627 	67.316 	12.099 	0.000 	0.417 	0.909 	0.226 	0
19.773 	67.422 	12.050 	0.000 	0.416 	0.909 	0.256 	0
20.788 	67.410 	12.057 	0.000 	0.416 	0.909 	0.226 	0
21.757 	67.190 	12.158 	0.000 	0.416 	0.909 	0.222 	0
22.749 	66.948 	12.267 	0.000 	0.416 	0.909 	0.228 	0
23.742 	66.560 	12.444 	0.000 	0.416 	0.909 	0.241 	0
24.641 	66.059 	12.673 	0.000 	0.417 	0.909 	0.234 	0
25.435 	65.454 	12.952 	0.000 	0.417 	0.909 	0.230 	0
26.192 	64.687 	13.305 	0.000 	0.417 	0.909 	0.252 	0
26.836 	63.999 	13.621 	0.000 	0.417 	0.909 	0.221 	0
27.318 	63.096 	14.036 	0.000 	0.417 	0.909 	0.246 	0
27.693 	62.145 	14.474 	0.000 	0.417 	0.909 	0.247 	0
27.935 	61.133 	14.939 	0.000 	0.418 	0.909 	0.252 	0
28.000 	60.114 	15.408 	0.000 	0.418 	0.909 	0.250 	0
27.954 	59.186 	15.835 	0.000 	0.418 	0.909 	0.226 	0
27.733 	58.250 	16.265 	0.000 	0.418 	0.909 	0.234 	0
27.385 	57.181 	16.757 	0.000 	0.418 	0.909 	0.272 	0
27.060 	56.284 	17.169 	0.000 	0.418 	0.909 	0.231 	0
26.719 	55.250 	17.645 	0.000 	0.418 	0.909 	0.264 	0
26.393 	54.378 	18.046 	0.000 	0.418 	0.909 	0.226 	0
26.053 	53.459 	18.469 	0.000 	0.418 	0.909 	0.237 	0
25.715 	52.591 	18.868 	0.000 	0.418 	0.909 	0.225 	0
25.410 	51.720 	19.268 	0.000 	0.417 	0.909 	0.222 	0
25.100 	50.827 	19.679 	0.000 	0.416 	0.909 	0.229 	0
24.748 	49.866 	20.121 	0.001 	0.413 	0.911 	0.247 	0
24.381 	48.872 	20.578 	0.001 	0.408 	0.913 	0.256 	0
24.047 	47.973 	20.992 	0.001 	0.398 	0.917 	0.231 	0
23.705 	46.937 	21.469 	0.000 	0.382 	0.924 	0.265 	0
23.314 	45.908 	21.943 	0.000 	0.360 	0.933 	0.267 	0
22.989 	45.012 	22.351 	-0.001 	0.330 	0.944 	0.230 	0
22.681 	44.102 	22.733 	-0.002 	0.294 	0.956 	0.229 	0
22.334 	43.066 	23.102 	-0.002 	0.250 	0.968 	0.256 	0
22.000 	42.078 	23.371 	-0.002 	0.201 	0.980 	0.239 	0
21.593 	41.046 	23.595 	-0.002 	0.146 	0.989 	0.251 	0
21.171 	40.016 	23.734 	-0.001 	0.088 	0.996 	0.250 	0
20.752 	39.080 	23.805 	0.000 	0.029 	1.000 	0.228 	0
20.259 	37.944 	23.796 	0.001 	-0.031 	1.000 	0.276 	0
19.806 	36.950 	23.738 	0.002 	-0.088 	0.996 	0.243 	0
19.369 	35.943 	23.599 	0.002 	-0.141 	0.990 	0.246 	0
18.924 	34.948 	23.400 	0.002 	-0.188 	0.982 	0.246 	0
18.573 	33.993 	23.137 	0.002 	-0.227 	0.974 	0.233 	0
18.144 	33.032 	22.814 	0.002 	-0.259 	0.966 	0.244 	0
17.718 	32.130 	22.484 	0.002 	-0.285 	0.959 	0.233 	0
17.314 	31.170 	22.129 	0.001 	-0.304 	0.953 	0.244 	0
16.920 	30.203 	21.772 	0.001 	-0.317 	0.948 	0.246 	0
16.544 	29.297 	21.437 	0.000 	-0.327 	0.945 	0.230 	0
16.122 	28.342 	21.084 	0.000 	-0.334 	0.943 	0.244 	0
15.696 	27.378 	20.728 	0.000 	-0.339 	0.941 	0.247 	0
15.361 	26.480 	20.396 	-0.001 	-0.342 	0.940 	0.225 	0
14.943 	25.456 	20.017 	-0.001 	-0.344 	0.939 	0.259 	0
14.475 	24.423 	19.635 	-0.001 	-0.345 	0.939 	0.265 	0
13.993 	23.410 	19.260 	-0.001 	-0.346 	0.938 	0.263 	0
13.612 	22.450 	18.906 	-0.001 	-0.346 	0.938 	0.243 	0
13.263 	21.562 	18.576 	-0.001 	-0.347 	0.938 	0.224 	0
12.815 	20.587 	18.212 	-0.001 	-0.347 	0.938 	0.252 	0
12.423 	19.711 	17.888 	-0.001 	-0.347 	0.938 	0.225 	0
12.055 	18.812 	17.555 	-0.001 	-0.347 	0.938 	0.228 	0
11.582 	17.689 	17.139 	0.000 	-0.347 	0.938 	0.286 	0
11.199 	16.789 	16.806 	0.000 	-0.347 	0.938 	0.229 	0
10.803 	15.917 	16.483 	0.000 	-0.347 	0.938 	0.224 	0
10.387 	14.984 	16.138 	0.000 	-0.347 	0.938 	0.241 	0
9.926 	13.945 	15.754 	0.000 	-0.347 	0.938 	0.267 	0
9.505 	12.974 	15.394 	0.000 	-0.347 	0.938 	0.248 	0
9.027 	11.886 	14.991 	0.000 	-0.347 	0.938 	0.280 	0
8.648 	11.013 	14.667 	0.000 	-0.347 	0.938 	0.222 	0
8.233 	10.103 	14.330 	0.000 	-0.346 	0.938 	0.235 	0
7.875 	9.160 	13.981 	0.000 	-0.345 	0.938 	0.237 	0
7.496 	8.257 	13.647 	-0.001 	-0.345 	0.939 	0.229 	0
7.078 	7.406 	13.332 	-0.001 	-0.344 	0.939 	0.222 	0
6.508 	6.608 	13.038 	-0.002 	-0.343 	0.939 	0.228 	0
5.810 	5.840 	12.754 	-0.002 	-0.342 	0.940 	0.238 	0
5.079 	5.146 	12.498 	-0.001 	-0.341 	0.940 	0.231 	0
4.226 	4.535 	12.274 	-0.001 	-0.341 	0.940 	0.238 	0
3.262 	4.095 	12.109 	-0.001 	-0.340 	0.941 	0.238 	0
2.169 	3.754 	11.985 	0.000 	-0.339 	0.941 	0.256 	0
1.190 	3.586 	11.932 	0.000 	-0.339 	0.941 	0.221 	0
0.012 	3.471 	11.889 	0.001 	-0.338 	0.941 	0.263 	0
-1.139 	3.532 	11.906 	0.001 	-0.338 	0.941 	0.256 	0
-2.199 	3.686 	11.969 	0.001 	-0.339 	0.941 	0.238 	0
-3.227 	4.053 	12.099 	0.001 	-0.340 	0.941 	0.243 	0
-4.208 	4.543 	12.278 	0.001 	-0.341 	0.940 	0.247 	0
-5.097 	5.150 	12.501 	0.001 	-0.342 	0.940 	0.243 	0
-5.877 	5.876 	12.769 	0.001 	-0.343 	0.939 	0.243 	0
-6.572 	6.625 	13.044 	0.001 	-0.344 	0.939 	0.235 	0
